ID,Warehouse_block ,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
5784,D, Ship,5,5,140,3,high,F,7,4799,1
5785,C, Road,7,2,264,4,medium,M,,1688,0
5786,C, Ship,4,3,198,2,low,M,,5724,1
5787,F, Ship,5,5,167,3,low,F,,1564,1
5788,F, Ship,4,3,129,6,medium,F,5,5626,0
5789,D, Ship,3,3,231,3,medium,F,,4623,1
5790,A, Ship,3,2,204,2,low,F,,5033,1
5791,F, Ship,3,4,172,3,low,F,,?,0
5792,B, Road,6,4,285,4,medium,M,9,1180,0
5793,F, Ship,3,5,151,2,low,M,3,5039,0
5794,D, Flight,4,3,202,,low,M,7,5678,1
5795,C, Ship,4,1,236,3,low,F,4,4248,0
5796,D, Road,3,3,188,5,low,F,,5713,0
5797,B, Ship,2,1,198,2,low,M,8,4323,0
5798,F,?,4,2,229,2,low,M,9,5026,0
5799,D, Ship,4,5,251,5,medium,F,7,1381,0
5800,F, Flight,3,3,246,3,low,M,,?,1
5801,C, Flight,6,2,284,4,low,F,,1181,1
5802,F, Road,4,3,268,3,medium,F,23,2996,1
5803,F, Ship,6,4,268,,medium,F,,1586,0
5804,F, Ship,,3,156,3,medium,M,,1218,1
5805,A, Road,4,1,150,4,high,M,,?,1
5806,B, Ship,6,5,258,4,low,M,5,1966,1
5807,C, Ship,3,2,178,2,medium,F,,4122,0
5808,F, Ship,4,2,198,2,low,M,,3368,1
5809,F, Ship,,4,136,3,high,F,35,1234,1
5810,B, Ship,,1,212,2,high,F,,4128,0
5811,A, Ship,4,2,209,4,low,F,10,3370,1
5812,B, Road,,4,199,5,medium,F,,4417,1
5813,F, Ship,4,1,178,8,medium,F,,4872,0
5814,F, Road,,1,148,2,medium,M,34,1053,1
5815,A, Ship,5,1,201,3,medium,F,,2488,1
5816,F, Ship,,5,140,3,low,F,,?,1
5817,F, Road,5,2,251,,low,M,9,4298,1
5818,F, Ship,,1,193,2,high,M,,3510,1
5819,F, Ship,5,5,263,8,medium,F,9,2236,1
5820,D, Ship,4,4,251,3,medium,F,,5350,1
5821,F, Ship,4,5,217,4,medium,M,37,2128,1
5822,D, Ship,,3,145,3,medium,F,8,4522,0
5823,F, Ship,5,3,187,3,low,F,3,?,0
5824,F, Road,4,3,250,6,?,M,,4246,0
5825,A, Ship,5,2,158,3,medium,M,16,1499,1
5826,B, Road,5,5,240,5,medium,M,,1255,0
5827,F, Flight,,1,245,5,low,F,7,1092,0
5828,B, Ship,,5,247,3,low,M,1,5226,0
5829,F, Ship,3,3,224,3,medium,F,5,4214,1
5830,B, Road,3,5,139,,medium,M,7,5536,0
5831,F, Flight,3,4,238,2,low,M,,4349,1
5832,D, Ship,3,1,246,2,low,F,9,4947,0
5833,F, Road,4,3,186,3,low,M,,5156,1
5834,F, Ship,6,1,250,4,low,M,,1018,0
5835,F, Flight,3,4,224,3,low,F,10,4806,1
5836,F, Ship,4,4,261,3,high,M,9,5515,0
5837,A, Flight,5,4,236,3,medium,F,1,5711,0
5838,D,?,,1,231,,medium,F,60,3755,1
5839,A,?,5,2,194,4,low,M,,5650,1
5840,F, Ship,3,3,202,3,medium,F,8,5486,1
5841,B, Ship,4,4,224,10,medium,F,,4149,0
5842,D, Ship,2,4,176,3,low,M,1,4509,0
5843,F, Ship,3,3,260,2,low,M,,5044,0
5844,C, Ship,4,2,271,3,low,F,,2693,1
5845,C, Ship,5,4,263,4,low,F,,1625,0
5846,A, Road,,1,179,3,low,F,62,1945,1
5847,F, Ship,3,1,270,3,medium,F,,?,1
5848,D, Road,,5,225,,medium,M,5,?,0
5849,D, Ship,,3,251,3,high,M,,5986,1
5850,C, Ship,5,3,200,8,low,F,9,?,1
5851,B, Road,4,4,158,3,low,F,,1507,1
5852,C, Flight,3,1,143,4,low,M,,5474,0
5853,B, Ship,3,3,203,3,medium,F,8,5929,0
5854,C, Ship,4,2,177,6,low,F,,4392,1
5855,F, Ship,3,5,245,,low,M,,5600,0
5856,B, Ship,3,5,186,,medium,M,,4764,0
5857,B, Ship,4,1,145,6,low,M,,1673,1
5858,C, Ship,,2,274,2,low,M,,3013,1
5859,C, Ship,3,4,252,2,high,M,9,4278,0
5860,F, Ship,,5,243,5,medium,M,,1817,0
5861,B,?,3,4,138,6,medium,M,,1853,1
5862,D, Ship,6,2,267,4,low,M,,1580,0
5863,F, Flight,5,3,165,,medium,M,,1429,1
5864,F, Road,3,5,139,3,low,F,,4060,1
5865,D, Ship,4,5,200,,?,F,1,4885,0
5866,F, Ship,,2,164,4,low,M,6,5264,0
5867,F,?,3,2,195,2,medium,M,,5779,1
5868,A, Flight,5,1,267,5,low,F,4,1097,0
5869,F, Road,6,5,130,6,low,F,60,1971,1
5870,F, Ship,5,4,240,4,medium,M,,4552,1
5871,D, Flight,5,2,262,5,low,M,,1751,0
5872,C, Ship,2,5,264,3,medium,F,3,?,1
5873,F, Ship,2,3,185,3,medium,F,,4246,0
5874,D,?,4,1,216,,low,M,9,1678,1
5875,D, Flight,5,1,271,4,low,M,,4610,1
5876,D, Ship,,2,138,10,low,M,,5721,1
5877,F, Ship,2,3,260,2,low,F,,?,0
5878,A, Flight,3,4,150,3,low,F,11,?,1
5879,C,?,5,4,186,2,low,M,,4213,0
5880,D, Ship,4,1,261,4,low,F,58,3427,1
5881,A, Ship,5,2,121,5,high,F,4,5833,0
5882,A, Flight,4,3,185,10,high,F,,?,1
5883,D,?,7,1,269,5,medium,F,,1402,0
5884,F,?,3,3,203,3,low,M,,3114,1
5885,C, Ship,6,4,298,,medium,M,9,1629,0
5886,F, Flight,,1,164,2,low,F,,1532,1
5887,F, Flight,3,1,164,3,medium,M,2,5488,0
5888,B, Road,,5,265,5,medium,F,,1867,0
5889,C, Flight,5,2,159,3,low,M,5,4930,0
5890,F, Ship,5,5,270,3,low,F,,5807,1
5891,B, Flight,,5,286,4,high,F,,1071,1
5892,C, Ship,,3,183,2,low,F,,3709,1
5893,F, Flight,4,5,193,3,medium,M,,2267,1
5894,C, Flight,2,3,160,2,high,M,,4409,0
5895,F, Road,4,4,224,,medium,M,9,2952,1
5896,A, Ship,4,4,254,3,low,M,,5637,0
5897,F, Ship,4,2,179,3,high,F,30,1076,1
5898,B, Ship,,4,158,3,medium,M,11,1224,1
5899,B, Ship,3,1,176,2,medium,F,45,1470,1
5900,F, Ship,4,5,142,4,medium,F,6,5027,0
5901,B, Ship,3,1,227,3,low,M,,4305,1
5902,F, Ship,3,4,111,5,medium,F,1,4102,0
5903,F,?,5,3,250,3,medium,M,,4343,0
5904,F, Road,,2,162,,low,F,4,4094,0
5905,F, Road,4,5,129,5,medium,M,,?,1
5906,A,?,,2,221,3,low,M,,5632,0
5907,F, Ship,,5,266,2,medium,M,7,5712,1
5908,B, Ship,4,5,161,2,medium,M,,1457,1
5909,D, Ship,4,4,182,3,high,F,,5197,0
5910,A, Ship,3,1,248,3,medium,M,,5588,0
5911,D, Ship,5,4,180,2,low,F,,5208,0
5912,C, Ship,3,1,140,3,medium,F,,1291,1
5913,B, Ship,,3,191,3,low,M,5,?,1
5914,F, Ship,,5,268,,low,M,10,1170,0
5915,B, Ship,5,2,246,,low,M,,4054,1
5916,C, Ship,5,1,195,3,low,M,,3690,1
5917,D, Ship,,5,184,2,high,M,3,4883,0
5918,B, Flight,4,1,240,4,low,F,6,4811,0
5919,B, Ship,,2,265,5,low,M,8,1555,0
5920,D, Ship,,1,230,3,medium,M,,2225,1
5921,F, Ship,4,1,273,6,medium,M,,?,0
5922,B, Road,4,2,274,5,low,F,,1246,0
5923,C, Ship,5,5,262,5,low,M,2,1304,0
5924,D, Ship,3,4,232,3,low,F,6,4050,0
5925,B, Ship,,1,265,6,low,F,,1753,1
5926,C, Ship,4,1,257,,low,M,,5875,1
5927,D,?,,1,240,2,low,M,,1144,1
5928,C, Ship,3,4,255,3,medium,F,10,5291,1
5929,F, Ship,5,5,216,4,medium,F,,4092,1
5930,F, Ship,4,2,197,3,low,F,,?,0
5931,A, Road,5,2,221,6,medium,M,,1781,1
5932,C, Ship,,1,162,3,medium,M,,4343,1
5933,F, Ship,3,3,158,3,low,F,,1878,1
5934,F, Ship,6,1,160,5,medium,M,8,5982,0
5935,A, Ship,3,5,135,3,low,M,,1772,1
5936,A, Flight,5,3,187,3,low,M,,5967,0
5937,A,?,3,5,139,2,medium,M,64,1857,1
5938,F, Ship,5,3,223,5,medium,M,4,1817,0
5939,B, Ship,5,3,205,4,low,M,9,4277,0
5940,A, Ship,4,3,296,2,medium,F,9,1523,1
5941,F, Ship,,2,212,3,medium,F,,2521,1
5942,C, Ship,4,5,240,5,medium,M,,4314,0
5943,F,?,4,3,175,4,medium,F,,5177,1
5944,F, Ship,,5,284,4,medium,M,8,5346,1
5945,C, Ship,4,2,237,3,low,M,,5277,0
5946,C, Ship,,1,139,,medium,M,,4534,0
5947,F, Flight,4,4,196,5,low,F,6,4258,0
5948,F, Flight,4,5,253,2,low,F,36,3389,1
5949,F, Flight,5,2,271,3,medium,M,32,3785,1
5950,C, Road,,4,266,3,medium,F,,5413,1
5951,F, Ship,4,2,181,3,medium,M,4,5717,0
5952,C, Ship,5,1,245,,medium,M,9,5690,0
5953,A, Road,5,3,236,,medium,M,7,3589,1
5954,D, Road,5,4,189,2,low,F,4,5575,1
5955,F, Ship,3,1,250,3,medium,F,6,5832,0
5956,F,?,2,2,177,5,?,M,36,1249,1
5957,A, Ship,4,5,255,4,low,M,14,3099,1
5958,C, Ship,,1,152,3,medium,F,,4735,0
5959,A, Ship,4,3,170,4,medium,F,,4375,0
5960,C, Ship,3,5,226,2,medium,F,2,1043,1
5961,C, Road,4,2,254,4,low,F,,?,1
5962,A, Flight,5,4,154,2,medium,M,10,5670,0
5963,B, Flight,,3,149,3,medium,M,,1990,1
5964,F, Ship,5,2,245,2,low,M,,5366,1
5965,F, Ship,,4,153,5,medium,M,,5818,0
5966,F, Ship,6,3,272,4,low,M,,1355,1
5967,A, Ship,7,5,192,3,low,M,,1550,1
5968,A, Flight,,4,238,,high,F,5,5907,1
5969,B, Road,6,1,286,4,low,F,3,1747,1
5970,F, Road,4,1,252,3,low,M,4,5119,1
5971,F, Ship,,2,157,3,low,F,48,1393,1
5972,D, Flight,,4,183,2,low,M,,4261,1
5973,F, Ship,3,2,260,3,low,M,9,4591,1
5974,D, Ship,4,1,263,5,low,M,,1605,1
5975,B,?,,5,151,3,high,F,31,1365,1
5976,C, Road,4,2,262,3,low,F,,4941,0
5977,F, Ship,4,2,252,,high,F,4,5233,1
5978,C, Ship,3,3,160,3,medium,F,,1228,1
5979,F,?,4,4,261,2,medium,F,,5306,1
5980,F, Ship,,4,122,2,low,F,,1213,1
5981,F, Ship,,5,286,4,medium,F,3,1773,1
5982,B, Ship,4,5,136,3,medium,M,7,4817,1
5983,F, Road,,4,143,3,low,F,1,4392,1
5984,F, Ship,4,5,226,5,?,F,5,4833,0
5985,B, Flight,4,1,171,2,low,M,3,4271,0
5986,F, Ship,4,3,190,2,low,F,,5834,1
5987,F, Ship,3,3,211,3,medium,M,,5185,0
5988,A, Ship,4,4,173,3,high,F,9,5382,1
5989,B, Road,5,4,208,8,medium,F,,5155,1
5990,F, Ship,6,3,165,5,medium,M,,4871,0
5991,C, Ship,4,3,167,3,medium,M,5,5791,0
5992,F, Flight,4,1,179,3,low,M,,1215,1
5993,F, Ship,4,1,166,5,low,F,9,4472,0
5994,C, Ship,3,2,221,,low,F,21,3686,1
5995,A, Ship,4,4,201,2,medium,F,8,5790,0
5996,C, Flight,3,2,189,2,medium,F,,4617,0
5997,D, Flight,5,4,157,3,medium,F,,4199,1
5998,B, Ship,5,3,201,2,low,M,,?,1
5999,B,?,2,4,248,3,low,F,7,4142,0
6000,C, Ship,3,4,245,3,medium,F,7,5429,0
6001,D, Road,,2,157,2,low,M,58,1654,1
6002,B,?,4,5,253,3,low,F,,4205,0
6003,F,?,,3,234,6,medium,F,8,5003,0
6004,A, Flight,3,5,184,3,medium,F,,4969,0
6005,B, Road,3,4,157,,medium,F,,5398,1
6006,B, Road,,4,221,5,low,M,,5059,0
6007,D, Ship,7,5,284,4,medium,F,,1148,1
6008,C, Ship,5,4,178,6,medium,M,10,5197,0
6009,B, Road,4,3,207,4,low,M,,5008,1
6010,A, Road,4,5,162,3,low,F,31,1170,1
6011,F, Ship,4,5,268,2,medium,M,46,3076,1
6012,C, Ship,3,2,268,4,low,M,,4415,0
6013,B, Flight,6,3,218,3,low,M,,4594,0
6014,D, Ship,4,2,141,2,low,F,8,1495,1
6015,F, Flight,5,4,220,2,medium,M,8,5073,0
6016,C, Road,,1,273,4,low,F,,2611,1
6017,F, Road,4,4,236,7,medium,M,62,2280,1
6018,C, Flight,,3,217,2,low,F,4,5588,0
6019,F, Ship,5,1,201,3,medium,M,19,2696,1
6020,B, Ship,3,5,273,10,medium,F,5,4608,0
6021,D, Ship,2,5,277,,medium,M,6,1032,0
6022,F, Road,,5,158,,medium,M,,5559,1
6023,C, Ship,,1,187,4,medium,M,,3621,1
6024,B, Road,4,5,213,3,low,F,7,4490,0
6025,F, Ship,4,4,197,7,medium,F,,?,1
6026,C, Ship,6,3,141,3,low,M,7,5222,1
6027,F, Ship,,1,261,4,high,F,,4852,0
6028,B, Ship,4,3,175,3,low,F,,5208,0
6029,A, Road,3,5,242,3,medium,F,3,2268,1
6030,A, Ship,6,3,271,4,medium,F,,1733,0
6031,A, Ship,3,4,196,4,low,F,,5031,0
6032,B, Flight,4,3,153,3,low,M,5,5743,1
6033,C, Ship,,2,212,,?,M,3,5427,1
6034,D, Flight,6,4,258,4,low,F,,1051,1
6035,C, Ship,5,4,236,5,medium,F,,1017,0
6036,A, Ship,4,2,249,2,medium,F,7,5876,1
6037,F, Ship,3,4,209,3,low,M,37,2215,1
6038,D, Ship,3,5,199,3,medium,F,62,3259,1
6039,F, Ship,5,1,144,2,low,F,20,1082,1
6040,B, Ship,5,3,188,2,low,M,6,4840,0
6041,D, Ship,3,2,160,,medium,F,6,4808,1
6042,F, Flight,5,2,252,5,low,F,10,1568,0
6043,F, Road,3,5,256,2,medium,F,,5750,0
6044,A, Flight,3,3,178,4,high,M,,4154,1
6045,C, Ship,7,5,265,4,low,F,1,1601,0
6046,C, Flight,,4,268,,low,M,,1793,0
6047,D, Ship,,3,180,2,medium,M,,5546,1
6048,A, Ship,5,1,230,4,medium,M,4,5363,0
6049,F, Flight,5,2,160,3,high,M,,5834,0
6050,F, Ship,5,2,201,3,low,M,2,5132,1
6051,A, Ship,5,5,231,2,medium,F,6,5862,0
6052,F, Flight,4,4,255,6,low,F,,1322,0
6053,F, Ship,3,3,185,3,low,M,,5995,1
6054,D, Ship,5,1,275,4,medium,F,,?,0
6055,A,?,6,3,210,4,medium,M,9,5440,0
6056,B, Flight,3,1,203,2,low,M,2,4647,1
6057,B, Flight,2,5,151,3,medium,M,9,4767,1
6058,A, Ship,5,2,168,2,low,M,6,5464,1
6059,F, Ship,2,5,158,3,low,F,40,1722,1
6060,D, Ship,,1,271,3,low,M,,4108,0
6061,B, Road,4,1,237,3,medium,F,,5668,1
6062,B, Road,3,5,181,3,medium,M,,4191,0
6063,F, Ship,,3,244,3,low,M,9,5339,0
6064,C, Ship,3,4,247,3,low,F,,4157,0
6065,F, Ship,6,5,98,,low,F,,5946,0
6066,F, Flight,4,2,256,4,low,F,,5571,0
6067,B, Ship,6,3,259,4,low,F,3,4117,1
6068,D, Road,5,5,160,3,medium,M,,1911,1
6069,C, Flight,6,2,271,4,medium,M,3,1636,0
6070,D, Ship,,1,127,8,low,F,,1519,1
6071,A, Road,4,1,144,4,high,M,,?,1
6072,C, Ship,3,5,147,3,medium,M,8,5272,1
6073,D, Ship,4,5,143,8,low,M,38,?,1
6074,F, Ship,,3,277,3,?,F,1,1738,0
6075,C, Flight,,1,231,2,low,M,,4892,1
6076,A, Ship,4,5,252,2,low,F,,4157,0
6077,B, Ship,,2,161,3,medium,F,,5757,0
6078,B, Ship,3,1,172,3,medium,M,,5696,1
6079,A, Ship,3,1,135,4,medium,M,,1840,1
6080,F, Ship,3,1,254,2,low,M,,3463,1
6081,F, Ship,,1,181,3,medium,M,38,3258,1
6082,F, Ship,6,2,286,4,medium,M,,1556,1
6083,C, Ship,,1,246,6,low,F,,1335,1
6084,A, Ship,4,5,167,2,low,F,7,5800,0
6085,F, Flight,4,5,137,2,low,M,7,4068,0
6086,F, Ship,5,2,172,3,medium,M,65,1667,1
6087,F, Ship,3,1,252,3,high,F,6,5101,0
6088,B, Ship,,1,258,3,medium,M,3,?,1
6089,F, Ship,4,1,169,4,low,F,10,4245,0
6090,F, Road,3,1,179,2,low,M,3,5159,1
6091,D, Ship,7,2,244,4,medium,F,8,1477,1
6092,D, Ship,,5,232,2,low,M,,2526,1
6093,F, Ship,3,2,109,,low,F,,1597,1
6094,D, Ship,4,2,184,3,low,M,10,4931,0
6095,C, Ship,,5,162,2,medium,F,9,5345,1
6096,F,?,,5,252,2,low,F,21,2070,1
6097,A, Ship,4,3,248,6,medium,M,,4212,0
6098,C, Ship,6,2,298,4,low,M,2,1648,0
6099,A, Ship,,4,213,3,high,M,,5516,1
6100,B, Ship,2,1,255,3,low,M,19,1551,1
6101,D, Ship,2,1,219,4,low,M,7,5573,1
6102,B, Flight,2,1,238,4,medium,F,4,4780,0
6103,C, Ship,4,1,293,,low,M,8,1326,1
6104,B, Ship,3,4,194,3,medium,M,,2169,1
6105,F, Ship,4,2,165,3,low,M,7,1702,1
6106,B, Ship,4,5,220,3,medium,F,63,3109,1
6107,C, Flight,5,5,230,10,high,M,10,5619,1
6108,B, Road,2,5,111,,low,M,4,4473,1
6109,D, Road,4,5,140,2,medium,F,,4347,1
6110,F, Ship,,1,239,8,high,M,,5023,1
6111,F,?,3,4,229,6,medium,F,,2815,1
6112,A, Road,4,3,247,10,high,M,,5882,0
6113,D, Ship,3,2,108,4,low,F,,4787,0
6114,D, Ship,3,2,219,3,medium,M,,4918,1
6115,B, Ship,4,3,187,4,high,F,,3141,1
6116,B, Ship,4,4,251,2,medium,F,,4376,0
6117,B, Road,4,3,272,4,low,M,,2857,1
6118,F, Ship,6,4,100,5,low,F,,5668,1
6119,B, Ship,4,1,237,3,low,F,10,5381,0
6120,F, Ship,,4,292,4,medium,M,,1779,1
6121,D, Ship,,4,239,3,medium,F,,5297,1
6122,C, Ship,5,2,253,5,medium,M,,1326,0
6123,A, Ship,3,4,234,,medium,F,37,2111,1
6124,B, Road,3,4,153,2,medium,M,5,4023,1
6125,F, Road,,1,169,4,low,M,,5323,0
6126,D, Flight,5,3,280,6,high,M,5,4585,0
6127,A, Ship,4,3,260,,medium,M,,3668,1
6128,D,?,,5,233,6,low,M,8,1176,0
6129,B, Ship,7,4,243,4,medium,F,,1362,1
6130,A, Flight,5,3,244,2,low,M,,4713,0
6131,D,?,3,5,272,2,?,M,6,4652,0
6132,A, Ship,4,2,271,5,medium,M,4,1633,1
6133,F, Ship,3,3,233,3,medium,M,35,2204,1
6134,F, Ship,3,1,187,,high,M,,3774,1
6135,F, Ship,,5,156,2,low,F,,1301,1
6136,D, Ship,3,4,223,3,low,M,,3959,1
6137,A,?,5,3,131,8,low,F,5,4149,1
6138,F, Ship,,1,263,5,low,F,,2292,1
6139,F, Flight,,5,156,2,low,F,,4817,0
6140,D, Road,4,3,178,,medium,F,,4322,1
6141,F, Road,,3,173,2,low,M,5,4703,0
6142,F, Ship,4,1,209,4,medium,F,,5057,0
6143,F, Ship,4,4,182,3,medium,F,8,5453,1
6144,F,?,6,4,137,8,low,F,9,4374,1
6145,D, Ship,3,5,274,,medium,M,,4710,1
6146,F, Ship,2,5,186,2,low,M,,3896,1
6147,B, Ship,5,4,232,5,medium,M,,1337,0
6148,F, Ship,5,4,167,7,medium,F,,1619,1
6149,A, Ship,,3,141,4,medium,M,8,4702,0
6150,B, Ship,4,3,251,,medium,M,,4206,0
6151,B, Flight,4,2,255,5,medium,M,2,1255,0
6152,C, Ship,,2,259,5,low,M,8,1678,0
6153,F, Ship,,2,141,2,medium,M,,?,1
6154,B, Ship,5,5,242,5,medium,M,,1444,1
6155,F, Ship,3,1,215,6,high,M,,3432,1
6156,A, Flight,3,4,170,2,low,F,,5664,0
6157,D, Ship,,5,268,2,high,M,32,3675,1
6158,B, Flight,4,2,181,3,low,M,4,5078,0
6159,C, Flight,3,1,101,,medium,M,7,4275,1
6160,F, Ship,3,4,168,2,medium,M,9,5235,1
6161,D, Ship,,4,191,2,low,M,,4318,1
6162,F, Ship,3,3,212,2,low,M,,5125,0
6163,F,?,,4,239,3,medium,M,,5632,0
6164,C, Road,,5,230,2,medium,F,,3381,1
6165,F, Ship,,2,179,2,high,F,8,5589,0
6166,B,?,5,5,193,3,low,F,3,5037,0
6167,D, Ship,2,2,182,,high,M,6,4112,1
6168,D, Flight,4,4,268,3,medium,M,10,4531,0
6169,D, Road,3,1,174,3,low,M,7,4318,1
6170,A, Ship,3,1,110,4,medium,F,6,5474,1
6171,F, Flight,5,1,149,,low,M,,?,1
6172,C, Ship,3,1,225,2,high,M,6,?,1
6173,A, Flight,4,2,243,2,medium,F,,?,0
6174,F,?,5,2,149,2,low,F,,4661,0
6175,B, Road,3,2,158,3,medium,F,39,1512,1
6176,A, Ship,5,1,193,4,medium,F,10,5280,0
6177,D, Ship,,1,251,,low,F,,1924,1
6178,F, Ship,,1,276,2,medium,M,3,?,0
6179,D, Ship,6,4,205,3,low,F,44,?,1
6180,F, Flight,3,5,106,2,low,F,3,5615,0
6181,C, Road,,5,128,5,low,M,34,1008,1
6182,A, Road,4,5,259,2,low,M,,4390,1
6183,F, Ship,,4,156,,low,F,,1842,1
6184,B, Ship,3,4,174,2,low,M,,4596,0
6185,F, Ship,3,1,252,2,low,M,4,5559,0
6186,B, Ship,4,3,247,3,low,F,4,4962,1
6187,F, Ship,,5,109,2,high,M,2,5978,1
6188,D, Ship,2,4,121,5,low,M,,1788,1
6189,A, Flight,5,3,243,6,medium,F,10,1189,1
6190,F, Road,5,2,221,5,low,F,,1855,0
6191,A, Ship,3,5,161,2,low,F,8,?,0
6192,A, Ship,4,1,193,3,medium,F,,5354,0
6193,F, Ship,4,2,170,2,low,M,3,4299,0
6194,F, Ship,4,3,242,2,low,M,,?,0
6195,F, Road,6,5,246,4,medium,M,2,1581,0
6196,B, Flight,,1,260,3,medium,M,6,4816,0
6197,B, Flight,3,1,211,2,low,F,45,?,1
6198,F,?,4,2,262,3,low,M,6,5381,0
6199,F, Ship,4,3,248,2,medium,M,,4701,1
6200,F, Flight,,5,202,,low,F,4,?,1
6201,F, Ship,6,5,185,3,high,F,,5399,1
6202,F, Ship,5,4,264,3,medium,M,,5716,0
6203,B, Flight,6,5,244,4,medium,F,4,1648,1
6204,D, Ship,5,5,253,6,medium,M,59,2627,1
6205,C, Ship,,1,194,3,medium,F,,3003,1
6206,C, Road,4,1,195,3,low,M,,4418,0
6207,D, Ship,4,5,269,4,medium,M,,3456,1
6208,F, Ship,5,1,245,,low,F,3,1956,1
6209,F, Ship,4,4,224,4,medium,F,2,4503,1
6210,F, Road,4,2,173,3,medium,M,,4963,0
6211,B, Flight,3,5,140,5,low,M,7,4370,1
6212,D, Ship,4,1,144,4,low,F,10,4175,0
6213,C, Flight,4,5,233,6,medium,M,1,5284,0
6214,B, Ship,,5,116,3,medium,M,,1314,1
6215,C, Ship,,5,249,4,low,F,8,1274,0
6216,F, Flight,2,5,156,5,medium,M,,5780,0
6217,F, Flight,4,4,149,,low,M,,1977,1
6218,B,?,3,5,162,7,medium,F,,1052,1
6219,F, Ship,5,1,236,6,low,M,,1123,1
6220,C, Ship,2,3,187,3,medium,F,6,5547,0
6221,A, Ship,5,4,160,4,low,F,,1603,1
6222,F, Ship,,1,198,3,medium,F,,3135,1
6223,F, Ship,4,3,164,2,low,F,3,1376,0
6224,F, Road,4,3,142,3,low,F,35,1512,1
6225,B, Flight,4,3,117,3,medium,F,,4666,0
6226,F, Road,,4,197,,medium,F,,3280,1
6227,D, Road,4,5,264,6,low,M,,1637,0
6228,F, Flight,3,5,220,4,low,M,2,4313,0
6229,D, Ship,4,4,184,3,low,F,52,3128,1
6230,A, Ship,3,3,202,4,low,F,,4003,1
6231,F, Road,,4,236,5,medium,F,,1664,1
6232,D, Ship,,1,242,6,low,M,,1791,1
6233,A, Ship,5,4,252,5,low,M,9,?,1
6234,F, Ship,3,4,229,6,medium,F,,5471,0
6235,D, Ship,3,3,154,2,medium,F,,5746,1
6236,F, Flight,5,4,229,3,medium,M,29,2505,1
6237,C, Ship,4,2,204,3,medium,F,,4001,0
6238,F, Ship,,5,155,3,medium,F,,4109,1
6239,B, Flight,4,2,233,4,low,M,7,1861,0
6240,A, Flight,5,3,241,5,low,F,2,1834,1
6241,C, Flight,4,4,141,3,low,M,,4683,0
6242,A, Ship,4,2,215,2,high,F,10,4061,1
6243,F, Ship,6,3,285,4,medium,F,1,1606,0
6244,D, Road,4,1,270,3,medium,F,64,2406,1
6245,A, Ship,3,4,242,5,low,M,,?,1
6246,F, Road,7,1,250,4,low,M,,1890,1
6247,F, Flight,5,2,151,,medium,M,20,1395,1
6248,F, Ship,,3,181,2,high,M,65,3234,1
6249,C,?,4,3,137,3,medium,F,,4820,1
6250,A, Ship,4,2,201,2,low,M,,4869,1
6251,B, Flight,,5,240,6,medium,F,9,1117,0
6252,A, Flight,5,2,240,2,medium,M,,4447,1
6253,F, Ship,4,1,232,5,medium,M,8,1943,0
6254,A, Ship,5,2,241,3,low,F,10,4244,1
6255,A, Ship,2,3,258,2,low,M,,5052,1
6256,B, Ship,2,2,9999,4,medium,M,,4066,0
6257,B, Ship,4,3,264,3,low,F,,2213,1
6258,A, Ship,,3,154,4,high,F,,4921,1
6259,A, Ship,2,2,145,2,low,M,1,1126,1
6260,F, Ship,3,2,156,3,medium,M,,4681,0
6261,D, Ship,,1,266,,low,M,9,1287,0
6262,F, Road,4,1,196,5,low,M,,5380,0
6263,A, Ship,2,5,279,3,low,F,8,4632,0
6264,F, Ship,3,3,134,3,medium,F,8,4950,0
6265,C, Ship,5,3,273,4,medium,M,1,5119,0
6266,C, Ship,,4,255,2,low,M,2,4504,0
6267,B, Ship,4,1,153,7,medium,F,,5761,1
6268,F,?,4,1,160,2,high,F,,1861,1
6269,C, Ship,6,5,299,,low,F,1,1629,1
6270,F, Ship,2,1,166,3,medium,F,,5990,1
6271,C,?,,1,253,2,low,F,,4299,0
6272,B, Flight,4,5,158,5,medium,F,,1936,1
6273,C, Flight,3,3,244,4,medium,M,10,5181,0
6274,F, Flight,,5,167,,low,M,3,4658,0
6275,A, Ship,5,2,247,3,medium,F,3,4698,1
6276,A, Ship,,4,140,4,medium,F,,1442,1
6277,B, Flight,5,4,189,5,low,M,,3301,1
6278,A, Ship,5,3,170,3,medium,M,,4198,0
6279,A, Ship,4,2,245,3,low,F,,5226,0
6280,B, Ship,4,4,205,4,medium,F,2,4690,1
6281,B, Road,4,5,134,10,medium,M,,4244,0
6282,D, Road,4,3,257,10,medium,F,,5881,1
6283,F, Ship,6,2,301,5,medium,F,3,1586,0
6284,A, Flight,,5,189,2,low,M,,3708,1
6285,C, Ship,3,2,258,2,low,M,,5862,0
6286,C, Ship,6,3,310,4,low,F,2,1817,0
6287,F, Ship,3,4,272,3,low,M,44,2548,1
6288,F, Ship,4,5,163,3,high,M,,5863,0
6289,F, Road,5,3,237,,low,F,,5131,0
6290,C, Ship,5,2,173,3,low,M,,4797,1
6291,F, Ship,3,3,235,3,medium,F,10,4186,0
6292,F, Ship,5,5,224,8,low,F,48,2627,1
6293,D, Ship,6,5,308,4,low,M,2,1125,1
